feature_id;objectid;feature_value
1;31;67.0000
1;32;104.0000
1;137;44.0000
1;63;212.0000
1;111;60.0000
1;119;46.0000
1;133;83.0000
1;135;35.0000
1;114;60.0000
1;76;60.0000
1;37;140.0000
1;155;212.0000
1;87;77.0000
1;51;66.0000
1;112;17.0000
1;128;49.0000
1;123;87.0000
1;85;86.0000
1;50;57.0000
1;62;26.0000
1;29;50.0000
1;69;257.0000
1;120;75.0000
1;36;81.0000
1;65;72.0000
1;90;83.0000
1;97;75.0000
1;107;112.0000
1;33;135.0000
1;105;94.0000
1;94;177.0000
1;146;25.0000
1;25;185.0000
1;150;45.0000
1;121;79.0000
1;144;55.0000
1;142;45.0000
1;109;131.0000
1;56;24.0000
1;57;24.0000
1;127;296.0000
1;91;112.0000
1;23;51.0000
1;132;62.0000
1;28;52.0000
1;100;80.0000
1;101;88.0000
1;136;65.0000
1;147;24.0000
1;157;117.0000
1;158;76.0000
1;53;37.0000
1;34;98.0000
1;67;101.0000
1;78;71.0000
1;35;218.0000
1;81;327.0000
1;149;92.0000
1;141;23.0000
1;74;29.0000
1;115;39.0000
1;54;26.0000
1;55;15.0000
1;129;40.0000
1;104;82.0000
1;138;64.0000
1;124;21.0000
1;143;23.0000
1;30;68.0000
1;27;121.0000
1;83;360.0000
1;73;97.0000
1;153;240.0000
1;59;29.0000
1;134;76.0000
1;117;144.0000
1;139;86.0000
1;88;49.0000
1;82;153.0000
1;68;169.0000
1;52;118.0000
1;131;182.0000
1;98;47.0000
1;79;84.0000
1;156;60.0000
1;89;48.0000
1;108;32.0000
1;145;24.0000
1;84;103.0000
1;151;50.0000
1;77;134.0000
1;102;78.0000
1;60;65.0000
1;99;27.0000
1;125;53.0000
1;24;161.0000
1;103;205.0000
1;86;212.0000
1;113;53.0000
1;72;46.0000
1;140;95.0000
1;71;105.0000
1;95;119.0000
1;93;88.0000
1;152;63.0000
1;130;87.0000
1;106;120.0000
1;80;134.0000
1;110;103.0000
1;26;348.0000
1;154;288.0000
