_id,address_full,listing_id,latitude,longitude,distance_driving,time_driving,distance_transit,time_transit
1,170 Princes' Blvd,1419,43.6459,-79.42423,3985,741,2279,1279
1,170 Princes' Blvd,8077,43.6408,-79.37673,5700,535,4202,1607
1,170 Princes' Blvd,643389,43.63589,-79.42796,2360,349,959,736
1,170 Princes' Blvd,643916,43.66308,-79.47795,7607,1003,9157,3285
1,170 Princes' Blvd,1194984,43.644,-79.4427,3155,530,3081,2017
1,170 Princes' Blvd,26654,43.64608,-79.39032,4641,850,3938,1870
1,170 Princes' Blvd,1196880,43.64175,-79.41108,1793,412,2027,1175
1,170 Princes' Blvd,654048,43.7837,-79.20675,34748,1680,38537,5610
1,170 Princes' Blvd,655522,43.65667,-79.39539,5026,1126,5884,2775
1,170 Princes' Blvd,1202446,43.64482,-79.39416,3704,670,3543,1717
1,170 Princes' Blvd,27423,43.66884,-79.32725,11475,1155,14311,4096
1,170 Princes' Blvd,1209935,43.66483,-79.36945,15006,1023,7563,3709
1,170 Princes' Blvd,666670,43.68614,-79.29126,15543,1528,13047,2346
1,170 Princes' Blvd,669162,43.66667,-79.37502,15026,1021,9294,2880
1,170 Princes' Blvd,30931,43.64015,-79.37625,5778,552,4283,1665
1,170 Princes' Blvd,40456,43.63539,-79.4401,2041,219,1901,1400
1,170 Princes' Blvd,670171,43.65627,-79.45863,5590,728,5943,2243
1,170 Princes' Blvd,701230,43.65873,-79.45336,5972,812,5112,2428
1,170 Princes' Blvd,1214297,43.65305,-79.45495,5520,715,4824,2232
1,170 Princes' Blvd,40701,43.67239,-79.28858,13903,1380,14821,3494
1,170 Princes' Blvd,1221280,43.65014,-79.38669,6433,773,4608,2260
1,170 Princes' Blvd,702286,43.65374,-79.45359,5227,649,4839,2245
1,170 Princes' Blvd,42892,43.6445,-79.38019,6536,724,4848,1818
1,170 Princes' Blvd,703124,43.65329,-79.45257,5354,708,4648,2107
1,170 Princes' Blvd,703133,43.65563,-79.45259,5493,709,4909,2266
1,170 Princes' Blvd,1223097,43.6695,-79.40656,9516,1554,6779,2386
1,170 Princes' Blvd,43964,43.74922,-79.29188,23594,2239,23388,5810
1,170 Princes' Blvd,1242683,43.65204,-79.34655,10178,929,8678,3763
1,170 Princes' Blvd,728817,43.64147,-79.44633,3269,469,3830,2092
1,170 Princes' Blvd,44452,43.67193,-79.3859,16838,1093,8100,2503
1,170 Princes' Blvd,755263,43.66229,-79.40904,5043,1103,5021,2505
1,170 Princes' Blvd,1254468,43.64814,-79.4177,3359,652,2790,1554
1,170 Princes' Blvd,1260644,43.65784,-79.36819,8103,946,7820,3706
1,170 Princes' Blvd,45399,43.66123,-79.38336,7961,1087,6812,2440
1,170 Princes' Blvd,1269925,43.75524,-79.33521,22871,1203,25038,5844
1,170 Princes' Blvd,756619,43.664642,-79.371208,15149,1065,7017,2565
1,170 Princes' Blvd,45893,43.6718,-79.38488,16760,1075,8106,2505
1,170 Princes' Blvd,762143,43.63708,-79.39198,2841,427,2899,1276
1,170 Princes' Blvd,762472,43.65036,-79.36823,7134,774,5690,2607
1,170 Princes' Blvd,1279122,43.69535,-79.43518,10433,1725,8976,3574
1,170 Princes' Blvd,50110,43.66899,-79.38559,15593,1218,8130,2541
1,170 Princes' Blvd,1289006,43.63861,-79.38456,3479,577,3368,1449
1,170 Princes' Blvd,51616,43.64296,-79.40451,2861,559,2542,1315
1,170 Princes' Blvd,1297164,43.68857,-79.40087,18139,1408,9779,3863
