objectid,area_name,hood_id,neighborhood_id,popn_proj_2022,shape__area,shape__length
31,Agincourt North,129,1,31022,7262015.71386719,12381.3562336109
32,Agincourt South-Malvern West,128,2,27407,7873085.4453125,15394.6873771468
137,Alderwood,20,3,13304,4978387.91040039,9168.59615883074
63,Annex,95,4,33424,2790299.21289063,7605.96617620714
111,Banbury-Don Mills,42,5,30373,10040970.7180176,18186.1088623619
119,Bathurst Manor,34,6,16993,4760369.421875,14571.4962180331
133,Bayview Village,52,8,25106,5159113.72143555,9504.16988724598
135,Bayview Woods-Steeles,49,9,13526,4088940.44042969,8253.11494502996
114,Bedford Park-Nortown,39,10,25143,5518287.28320313,12817.1291930761
76,Beechborough-Greenbrook,112,11,6963,1833583.37915039,6414.63726243317
37,Birchcliffe-Cliffside,122,13,23192,6009067.32470703,14693.4888933886
155,Black Creek,24,14,22878,3453854.94458008,8441.43258633972
87,Blake-Jones,69,15,8172,941209.330078125,4042.83773232221
51,Briar Hill-Belgravia,108,16,15084,1827724.56152344,6289.04997888496
112,Bridle Path-Sunnybrook-York Mills,41,17,10411,8839357.28149414,15670.6962224505
128,Broadview North,57,18,12153,1745977.78320313,7178.09962216776
123,Brookhaven-Amesbury,30,19,18672,3507312.73022461,8980.39930202678
85,Cabbagetown-South St.James Town,71,20,11858,1417918.52587891,5759.06261802306
50,Caledonia-Fairbank,109,21,10494,1544557.75756836,4956.20482788052
62,Casa Loma,96,22,11815,1922411.78564453,5937.69098981687
29,Centennial Scarborough,133,23,14505,5468418.97143555,12073.7931250162
69,Clairlea-Birchmount,120,25,28338,7397931.56567383,16486.0655980537
120,Clanton Park,33,26,18681,4166282.88330078,10224.4351950657
36,Cliffcrest,123,27,17571,7190836.35913086,19944.1072384506
65,Corso Italia-Davenport,92,28,14670,1889355.68676758,6089.31144545346
90,Danforth,66,29,10117,1119675.36230469,6233.2903924361
97,Danforth East York,59,30,17818,2188610.37744141,7623.95261400139
107,Don Valley Village,47,31,29079,4212455.27392578,8326.57890429457
33,Dorset Park,126,32,26093,6012148.11645508,10566.9877876274
105,Dufferin Grove,83,35,12621,1387929.2487793,5148.23682934894
94,East End-Danforth,62,36,22771,2638981.39086914,7373.07211501126
146,Edenbridge-Humber Valley,9,37,16942,5511639.22265625,11180.3436887409
25,Eglinton East,138,38,23963,3223275.53662109,10015.4755155681
150,Elms-Old Rexdale,5,39,9852,2931076.98779297,9356.74744779099
121,Englemount-Lawrence,32,40,24057,3478125.60131836,8311.87171130758
144,Eringate-Centennial-West Deane,11,41,19446,8645666.10229492,15361.9159031343
142,Etobicoke West Mall,13,42,12544,1796406.21850586,6475.59411153766
109,Flemingdon Park,44,43,23195,2473284.12207031,8487.76632835232
56,Forest Hill North,102,44,13175,1571697.33398438,5716.05842631309
57,Forest Hill South,101,45,11963,2479878.68945313,7188.77995061384
127,Glenfield-Jane Heights,25,46,32124,5150697.50024414,11459.9417497783
