_id,address_info,name,category,phone,email,website,geoid,received_date,address_point_id,address_number,linear_name_full,address_full,postal_code,municipality,city,place_name,general_use_code,lo_num,lo_num_suf,hi_num,hi_num_suf,linear_name_id,ward,ward_2003,ward_2018,mi_prinx,attraction,map_access,coordinate_1,coordinate_2
1,,BMO Field,Sports / Entertainment Venue,416-815-5982,,https://www.bmofield.com/,2.0229243E7,,2.0229243E7,170.0,Princes' Blvd,170 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE BMO Field,107007.0,170.0,,,,20228.0,Spadina-Fort York,19.0,10.0,4163950.0,"BMO Field is home to the Toronto FC (Major League Soccer), Canada''s national soccer team, and the home of the Toronto Argonauts (Canadian Football League).",Y,-79.4184156138918,43.6346633567159
2,,Aga Khan Museum,Museum,416-646-4677,,https://www.agakhanmuseum.org/,1.0142948E7,,1.0142948E7,77.0,Wynford Dr,77 Wynford Dr,M3C 1K1,North York,Toronto,,107008.0,77.0,,,,7128.0,Don Valley East,26.0,16.0,4094277.0,"Dedicated to sharing the artistic, intellectual, and scientific contributions that Islamic civilizations and cultures have made to world heritage.",Y,-79.3318039207097,43.7273310268744
3,,Scotiabank Arena (formerly Air Canada Centre),Sports / Entertainment Venue,416-815-5500,,https://www.scotiabankarena.com/,7929257.0,,7929257.0,40.0,Bay St,40 Bay St,M5J 2X2,former Toronto,Toronto,Scotiabank Arena,107010.0,40.0,,,,2962.0,Spadina-Fort York,28.0,10.0,3176821.0,"The Scotiabank Arena is a multi-purpose indoor sporting arena and concert venue. It is the home of the Toronto Maple Leafs Hockey Club, the Toronto Raptors basketball team, and the Toronto Rock Lacrosse team.",Y,-79.3788009534123,43.6454365794855
4,,Al Green Theatre (at the Miles Nadal Jewish Community Centre),Performing Arts,416-924-6211,,http://www.algreentheatre.ca/,8418224.0,,8418224.0,750.0,Spadina Ave,750 Spadina Ave,M5S 2J2,former Toronto,Toronto,Miles Nadal Jewish Community Centre,115001.0,750.0,,,,4426.0,University-Rosedale,20.0,11.0,1951177.0,"The Al Green Theatre is used  for social and corporate event, theatre, film, concerts, dance; and lectures.",N,-79.4038625877276,43.6682055734258
5,,Alexander Muir Memorial Gardens,Nature/ Park,416-338-4386,,https://www.toronto.ca/data/parks/prd/facilities/complex/193/index.html,1.0154587E7,,1.0154587E7,2901.0,Yonge St,2901 Yonge St,,former Toronto,Toronto,,106001.0,2901.0,,,,4733.0,Don Valley West,25.0,15.0,4217141.0,Named after the famous composer Alexander Muir. The gardens act as a path into the tranquil ravine system that includes walking trails. The gardens are open year round.,Y,-79.4009651976758,43.7235314206549
6,,Gallery Indigena,Gallery,416-366-3000,,http://www.galleryindigena.com/,3.0032158E7,,3.0032158E7,46.0,Gristmill Lane,46 Gristmill Lane,M5A 3C4,former Toronto,Toronto,,115001.0,46.0,,,,19554.0,Spadina-Fort York,28.0,10.0,3233105.0,"Located in the Distillery District, the Eskimo Art Gallery offers Inuit art.",N,-79.3598410390005,43.6520604856909
7,,Allan Gardens,Nature/ Park,416-392-7288,,https://www.toronto.ca/data/parks/prd/facilities/complex/41/index.html,1.238769E7,,1.238769E7,19.0,Horticultural Ave,19 Horticultural Ave,M5A 2P2,former Toronto,Toronto,,115001.0,19.0,,,,3695.0,Toronto Centre,27.0,13.0,3358221.0,Allan Gardens is a park and indoor botanical garden built in 1910. The building houses six greenhouses featuring plants and flowers from across the globe. Open year round and free to the public.,Y,-79.3745508759398,43.6629442642063
8,,Alumnae Theatre,Performing Arts,416-364-4170,,https://www.alumnaetheatre.com/,1.1070101E7,,1.1070101E7,70.0,Berkeley St,70 Berkeley St,M5A 2W6,former Toronto,Toronto,,115001.0,70.0,,,,2995.0,Toronto Centre,28.0,13.0,2198005.0,The theatre company is housed inside an old firehall and is the oldest theatre society in Toronto. Each year the company offers three productions.,Y,-79.3647507641734,43.6547408646452
9,,Art Gallery of Ontario,Gallery,416-979-6648,,https://ago.ca/,796549.0,,796549.0,317.0,Dundas St W,317 Dundas St W,M5T 1G4,former Toronto,Toronto,,107010.0,317.0,,,,558.0,Spadina-Fort York,20.0,10.0,3838389.0,"The Art Gallery of Ontario (AGO) is one of the largest art galleries in North America, and holds more than 80,000 works in its collection. In 2008 the building was redesigned by famous architect and native Torontonian, Frank Gehry.",Y,-79.3923703658983,43.6555102789373
10,,Ashbridges Bay Park,Nature/ Park,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/1/index.html,7650406.0,,7650406.0,1675.0,Lake Shore Blvd E,1675 Lake Shore Blvd E,M4L 3W6,former Toronto,Toronto,,106001.0,1675.0,,,,3803.0,Beaches-East York,32.0,19.0,4149245.0,"Ashbridges Bay waterfront park features large beaches, fishing areas, a marina, and the Woodbine Beach boardwalk.",Y,-79.3109772629253,43.663540534279
